,Algorithm,avg_encrypt_time_per_100,avg_decrypt_time_per_100,avg_mse,Parameter Variation
0,CKKS,0.0002572952270507812,4.055009365081787e-05,273.9318141912789,standard
1,CKKS,0.00016298538684844972,2.5201792716979984e-05,273.9308896752283,n=1024
2,CKKS,0.0004421007823944092,7.208192825317383e-05,273.93295005361625,n=4096
3,CKKS,0.0002595148515701294,4.1201772689819335e-05,320.03039716062153,q=32768
4,CKKS,0.000255433669090271,4.146143436431885e-05,194.99461109077805,q=131072
5,CKKS,0.00025576422214508056,4.0657634735107425e-05,194.99865259044557,scale=5000.0
6,CKKS,0.0002603173017501831,4.1146526336669915e-05,320.0395778301727,scale=20000.0
7,CKKS,0.0002576868009567261,4.132043838500977e-05,273.93288666456004,sigma=2.0
8,CKKS,0.0002571130847930908,4.0753493309021e-05,273.92912544727756,sigma=5.0
