,Algorithm,avg_encrypt_time_per_100,avg_decrypt_time_per_100,avg_mse,Parameter Variation
0,BFV,0.00026313485622406007,7.734715461730956e-05,360.3234340234375,standard
1,BFV,0.0001573810243606567,4.5134572982788087e-05,360.32177158203126,n=1024
2,BFV,0.00047493767738342283,0.00014041234970092772,360.3266983203125,n=4096
3,BFV,0.00026309715270996095,7.755496501922608e-05,343.149412109375,q=32768
4,BFV,0.00026206992149353027,7.583714962005614e-05,373.9641693359375,q=131072
5,BFV,0.0002619020700454712,7.585753440856933e-05,373.9641693359375,t=17
6,BFV,0.0002619971561431885,7.700616359710693e-05,332.34099541015627,t=61
7,BFV,0.0002633908700942993,7.738322734832764e-05,360.153310546875,sigma=2.0
8,BFV,0.00025988484382629394,7.626477241516114e-05,360.457780859375,sigma=5.0
