,Algorithm,avg_encrypt_time_per_100,avg_decrypt_time_per_100,avg_mse,Parameter Variation
0,BGV,0.0002636502885818481,7.7630615234375e-05,360.3191048828125,standard
1,BGV,0.00015712153911590576,4.500283241271973e-05,360.32877568359373,n=1024
2,BGV,0.00047491873264312744,0.00014042531967163087,360.3168833984375,n=4096
3,BGV,0.00026436733245849606,7.789431095123291e-05,343.1620144921875,q=32768
4,BGV,0.00026472780227661133,7.659568786621095e-05,373.9641693359375,q=131072
5,BGV,0.0002641080570220947,7.646238327026367e-05,373.9641693359375,t=17
6,BGV,0.0002660999631881714,7.790816307067872e-05,332.3413593164062,t=61
7,BGV,0.0002658234596252441,7.8010892868042e-05,360.15208689453124,sigma=2.0
8,BGV,0.0002612621736526489,7.728222846984864e-05,360.45754482421876,sigma=5.0
